log_file,stage,training_mode,backbone,quantizer_mode,quantizer_mode_detail,quantizer_mode_source,quant_bits,quant_bits_detail,quant_bits_source,teacher_backend,teacher_proxy_ckpt,teacher_score_topk_ratio,run_id,started_at,epochs,batch_size,lr,roi_levels,bg_levels,max_train_frames,loss_recipe,loss_recipe_detail,loss_recipe_source,rate_loss_mode,rate_loss_mode_source,importance_loss_mode,importance_loss_mode_source,importance_pos_weight_mode,importance_pos_weight,importance_pos_weight_max,distill_logit_loss,distill_temperature,distill_feature_weight,distill_logit_weight,importance_head_type,importance_head_type_source,importance_hidden_channels,imp_separation_margin,roi_target_mode,roi_target_mode_source,lambda_recon,lambda_rate,lambda_distill,lambda_distill_detail,lambda_importance,lambda_imp_separation,first_loss,final_loss,best_loss,rel_improve_pct,final_rate_proxy,final_eq_bits,final_code_entropy,final_imp_mean,save_dir
260213_darknet_ld0.5_j21258_r0.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,proxy,none,0.01,j21258_r0,2026-02-13 20:41:04 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.5,Distillation loss active with weight=0.500. Higher value increases emphasis on teacher feature/logit matching.,0.5,0.0,12.5516,4.6435,4.6435,63.004716530163485,nan,nan,nan,nan,data/results/experiments/260213_darknet_distill_lr1e-4_bs4_j21258_r0
260213_resnet_lr5e-5_j21253_r3.out,1,baseline (teacher disabled),resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21253_r3,2026-02-13 20:41:04 PST,50,4,5e-5,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,13.4423,3.1913,3.1913,76.25927110687904,nan,nan,nan,nan,data/results/experiments/260213_resnet_solo_lr5e-5_bs4_j21253_r3
260213_darknet_uniform_q4_j21261_r0.out,0,uniform quantization baseline,darknet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,4,Uniform quantizer bit-depth (4 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,j21261_r0,2026-02-13 20:41:45 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,8.589,2.1034,2.1034,75.51053673303062,nan,nan,nan,nan,data/results/experiments/260213_darknet_uniform_q4_lr1e-4_bs4_j21261_r0
260213_darknet_uniform_q6_j21262_r1.out,0,uniform quantization baseline,darknet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,6,Uniform quantizer bit-depth (6 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,j21262_r1,2026-02-13 20:41:45 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,8.1876,1.9479,1.9479,76.20914553715374,nan,nan,nan,nan,data/results/experiments/260213_darknet_uniform_q6_lr1e-4_bs4_j21262_r1
260213_resnet_uniform_q4_j21264_r3.out,0,uniform quantization baseline,resnet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,4,Uniform quantizer bit-depth (4 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,j21264_r3,2026-02-13 20:41:45 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,6.9064,0.9452,0.9452,86.3141434032202,nan,nan,nan,nan,data/results/experiments/260213_resnet_uniform_q4_lr1e-4_bs4_j21264_r3
260213_resnet_uniform_q6_j21265_r4.out,0,uniform quantization baseline,resnet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,6,Uniform quantizer bit-depth (6 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,j21265_r4,2026-02-13 20:41:45 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,6.767,0.796,0.796,88.23703265848972,nan,nan,nan,nan,data/results/experiments/260213_resnet_uniform_q6_lr1e-4_bs4_j21265_r4
260213_darknet_uniform_q8_j21263_r2.out,0,uniform quantization baseline,darknet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,8,Uniform quantizer bit-depth (8 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,j21263_r2,2026-02-13 20:41:47 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,8.1636,1.9299,1.9299,76.35969425253565,nan,nan,nan,nan,data/results/experiments/260213_darknet_uniform_q8_lr1e-4_bs4_j21263_r2
260213_resnet_uniform_q8_j21260_r5.out,0,uniform quantization baseline,resnet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,8,Uniform quantizer bit-depth (8 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,j21260_r5,2026-02-13 20:41:47 PST,50,4,1e-4,n/a,n/a,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,n/a,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,7.0959,0.7701,0.7701,89.14725404811229,nan,nan,nan,nan,data/results/experiments/260213_resnet_uniform_q8_lr1e-4_bs4_j21260_r5
260216_resnet_pilot_balanced_v1_headbasic_r0.out,2,distill,resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,pointpillars_zhulf,data/checkpoints/pointpillars_epoch_160.pth,0.01,localpilot_r0,2026-02-16 11:08:39 PST,5,2,0.0001,256,16,128,balanced_v1,Normalized rate loss + weighted BCE importance.,logged,normalized_global,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,logged,32,0.05,maxpool,logged,1.0,0.02,0.1,Distillation loss active with weight=0.100. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.0,58.8617,12.7122,12.7122,78.4032741154265,nan,nan,nan,nan,data/results/experiments/260216_resnet_pilot_balanced_v1_headbasic_lr1e-4_bs2_localpilot_r0
260216_resnet_pilot_balanced_v2_headmultiscale_r1.out,2,distill,resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,pointpillars_zhulf,data/checkpoints/pointpillars_epoch_160.pth,0.01,localpilot_r1,2026-02-16 11:10:43 PST,5,2,0.0001,256,16,128,balanced_v2,Background-focused normalized rate + weighted BCE + ROI/BG separation margin.,logged,normalized_bg,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,multiscale,logged,32,0.05,maxpool,logged,1.0,0.02,0.1,Distillation loss active with weight=0.100. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.2,58.4008,12.5746,12.5746,78.468445637731,nan,nan,nan,nan,data/results/experiments/260216_resnet_pilot_balanced_v2_headmultiscale_lr1e-4_bs2_localpilot_r1
260216_resnet_pilot_pp20_stage1.out,1,baseline,resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,localpp_stage1,2026-02-16 12:14:45 PST,3,2,0.0001,256,16,128,balanced_v1,Normalized rate loss + weighted BCE importance.,logged,normalized_global,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,1.0,0.0,59.0393,26.9204,26.9204,54.402575911299756,nan,nan,nan,nan,data/results/experiments/260216_resnet_pilot_pp20_stage1_lr1e-4_bs2_localpp_stage1
260216_resnet_pilot_pp20_stage2.out,2,distill,resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,pointpillars_zhulf,data/checkpoints/pointpillars_epoch_160.pth,0.01,localpp_stage2,2026-02-16 12:15:31 PST,3,2,0.0001,256,16,128,balanced_v2,Background-focused normalized rate + weighted BCE + ROI/BG separation margin.,logged,normalized_bg,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.1,Distillation loss active with weight=0.100. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.2,58.5874,26.3631,26.3631,55.002099427521955,nan,nan,nan,nan,data/results/experiments/260216_resnet_pilot_pp20_stage2_lr1e-4_bs2_localpp_stage2
260216_darknet_ld0.5_j21419_r0.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,pointpillars_zhulf,data/checkpoints/pointpillars_epoch_160.pth,0.01,j21419_r0,2026-02-16 12:45:58 PST,50,4,1e-4,256,16,all,balanced_v2,Background-focused normalized rate + weighted BCE + ROI/BG separation margin.,logged,normalized_bg,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.5,Distillation loss active with weight=0.500. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.2,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260216_darknet_distill_lr1e-4_bs4_j21419_r0
260216_darknet_ld1.0_j21420_r1.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,pointpillars_zhulf,data/checkpoints/pointpillars_epoch_160.pth,0.01,j21420_r1,2026-02-16 12:45:58 PST,50,4,1e-4,256,16,all,balanced_v2,Background-focused normalized rate + weighted BCE + ROI/BG separation margin.,logged,normalized_bg,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,1.0,Distillation loss active with weight=1.000. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.2,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260216_darknet_distill_lr1e-4_bs4_j21420_r1
260216_darknet_lr5e-5_j21418_r2.out,1,baseline (teacher disabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21418_r2,2026-02-16 12:45:59 PST,50,4,5e-5,256,16,all,balanced_v1,Normalized rate loss + weighted BCE importance.,logged,normalized_global,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260216_darknet_solo_lr5e-5_bs4_j21418_r2
260216_resnet_lr1e-4_j21417_r1.out,1,baseline (teacher disabled),resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21417_r1,2026-02-16 12:45:59 PST,50,4,1e-4,256,16,all,balanced_v1,Normalized rate loss + weighted BCE importance.,logged,normalized_global,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260216_resnet_solo_lr1e-4_bs4_j21417_r1
260216_darknet_ld0.1_j21415_r2.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,pointpillars_zhulf,data/checkpoints/pointpillars_epoch_160.pth,0.01,j21415_r2,2026-02-16 12:46:00 PST,50,4,1e-4,256,16,all,balanced_v2,Background-focused normalized rate + weighted BCE + ROI/BG separation margin.,logged,normalized_bg,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.1,Distillation loss active with weight=0.100. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.2,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260216_darknet_distill_lr1e-4_bs4_j21415_r2
260216_resnet_lr5e-5_j21414_r3.out,1,baseline (teacher disabled),resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21414_r3,2026-02-16 12:46:00 PST,50,4,5e-5,256,16,all,balanced_v1,Normalized rate loss + weighted BCE importance.,logged,normalized_global,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260216_resnet_solo_lr5e-5_bs4_j21414_r3
260216_darknet_lr1e-4_j21416_r0.out,1,baseline (teacher disabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21416_r0,2026-02-16 12:46:10 PST,50,4,1e-4,256,16,all,balanced_v1,Normalized rate loss + weighted BCE importance.,logged,normalized_global,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260216_darknet_solo_lr1e-4_bs4_j21416_r0
260216_darknet_lr1e-4_j21423_r0.out,1,baseline (teacher disabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21423_r0,2026-02-16 12:47:02 PST,150,4,1e-4,256,16,all,balanced_v1,Normalized rate loss + weighted BCE importance.,logged,normalized_global,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,1.0,0.0,8.768,1.6822,1.6822,80.81432481751824,nan,nan,nan,nan,data/results/experiments/260216_darknet_solo_lr1e-4_bs4_j21423_r0
260216_darknet_ld0.5_j21426_r0.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,pointpillars_zhulf,data/checkpoints/pointpillars_epoch_160.pth,0.01,j21426_r0,2026-02-16 12:47:04 PST,150,4,1e-4,256,16,all,balanced_v2,Background-focused normalized rate + weighted BCE + ROI/BG separation margin.,logged,normalized_bg,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.5,Distillation loss active with weight=0.500. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.2,9.4556,2.7526,2.7504,70.88920851135835,nan,nan,nan,nan,data/results/experiments/260216_darknet_distill_lr1e-4_bs4_j21426_r0
260216_darknet_ld1.0_j21427_r1.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,pointpillars_zhulf,data/checkpoints/pointpillars_epoch_160.pth,0.01,j21427_r1,2026-02-16 12:47:04 PST,150,4,1e-4,256,16,all,balanced_v2,Background-focused normalized rate + weighted BCE + ROI/BG separation margin.,logged,normalized_bg,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,1.0,Distillation loss active with weight=1.000. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.2,9.9368,3.1818,3.1818,67.97963126962402,nan,nan,nan,nan,data/results/experiments/260216_darknet_distill_lr1e-4_bs4_j21427_r1
260216_darknet_lr5e-5_j21425_r2.out,1,baseline (teacher disabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21425_r2,2026-02-16 12:47:04 PST,150,4,5e-5,256,16,all,balanced_v1,Normalized rate loss + weighted BCE importance.,logged,normalized_global,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,1.0,0.0,10.3951,1.7948,1.7948,82.73417283143019,nan,nan,nan,nan,data/results/experiments/260216_darknet_solo_lr5e-5_bs4_j21425_r2
260216_resnet_lr1e-4_j21424_r1.out,1,baseline (teacher disabled),resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21424_r1,2026-02-16 12:47:04 PST,150,4,1e-4,256,16,all,balanced_v1,Normalized rate loss + weighted BCE importance.,logged,normalized_global,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,1.0,0.0,7.3054,0.7224,0.7224,90.11142442576724,nan,nan,nan,nan,data/results/experiments/260216_resnet_solo_lr1e-4_bs4_j21424_r1
260216_darknet_ld0.1_j21422_r2.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,pointpillars_zhulf,data/checkpoints/pointpillars_epoch_160.pth,0.01,j21422_r2,2026-02-16 12:47:06 PST,150,4,1e-4,256,16,all,balanced_v2,Background-focused normalized rate + weighted BCE + ROI/BG separation margin.,logged,normalized_bg,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.1,Distillation loss active with weight=0.100. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.2,8.7519,2.1185,2.1185,75.7938276260012,nan,nan,nan,nan,data/results/experiments/260216_darknet_distill_lr1e-4_bs4_j21422_r2
260216_resnet_lr5e-5_j21421_r3.out,1,baseline (teacher disabled),resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,j21421_r3,2026-02-16 12:47:06 PST,150,4,5e-5,256,16,all,balanced_v1,Normalized rate loss + weighted BCE importance.,logged,normalized_global,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,1.0,0.0,9.3087,0.7877,0.7877,91.53802356934911,nan,nan,nan,nan,data/results/experiments/260216_resnet_solo_lr5e-5_bs4_j21421_r3
260219_resnet_pilot_s0_q6.out,0,uniform,resnet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,6,Uniform quantizer bit-depth (6 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,pilot_s0_q6,2026-02-19 20:14:11 PST,1,2,0.0001,256,16,32,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,logged,auto_by_recipe,logged,auto_by_recipe,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,logged,32,0.05,maxpool,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,72.3707,72.3707,72.3707,0.0,63.0,6.0,2.5603,nan,data/results/experiments/260219_resnet_pilot_s0q6_lr1e-4_bs2_pilot_s0_q6
260219_resnet_pilot_s0_q8.out,0,uniform,resnet,uniform,ROI-unaware uniform quantization. A fixed bit-depth quantizer is applied to latent values.,logged,8,Uniform quantizer bit-depth (8 bits). Higher bits increase reconstruction fidelity and usually increase bitrate.,logged,none,none,0.01,pilot_s0_q8,2026-02-19 20:14:23 PST,1,2,0.0001,256,16,32,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,logged,auto_by_recipe,logged,auto_by_recipe,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,logged,32,0.05,maxpool,logged,1.0,0.0,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.0,0.0,72.4441,72.4441,72.4441,0.0,255.0,8.0,3.7237,nan,data/results/experiments/260219_resnet_pilot_s0q8_lr1e-4_bs2_pilot_s0_q8
260219_resnet_pilot_s1_adapt.out,1,baseline,resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,none,none,0.01,pilot_s1_adapt,2026-02-19 20:14:35 PST,1,2,0.0001,256,16,32,balanced_v2,Background-focused normalized rate + weighted BCE + ROI/BG separation margin.,logged,normalized_bg,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,1.0,0.2,72.1719,72.1719,72.1719,0.0,137.3167,7.0553,3.3269,0.5055,data/results/experiments/260219_resnet_pilot_s1adapt_lr1e-4_bs2_pilot_s1_adapt
260219_resnet_pilot_s2_distill.out,2,distill,resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,pointpillars_zhulf,data/checkpoints/pointpillars_epoch_160.pth,0.01,pilot_s2_distill,2026-02-19 20:14:48 PST,1,2,0.0001,256,16,32,balanced_v2,Background-focused normalized rate + weighted BCE + ROI/BG separation margin.,logged,normalized_bg,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,pp_lite,logged,64,0.05,maxpool,logged,1.0,0.02,0.1,Distillation loss active with weight=0.100. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.2,73.0926,73.0926,73.0926,0.0,127.6118,6.9514,3.367,0.4651,data/results/experiments/260219_resnet_pilot_s2distill_lr1e-4_bs2_pilot_s2_distill
